Id,First,Last,Number,Street,City,State
2,Bill,Coolidge,85013,Via Real,Austin,IL
3,Thomas,Coolidge,63489,Lindbergh Blvd,Springfield,ca
4,Harry,Ford,97249,Monroe Street,Salt Lake City,ca
5,Warren,McKinley,82589,Westside Freeway,Concord,ak
6,Andrew,Taylor,29886,Padre Boulevard,Madison,CA
7,Ulysses,Coolidge,98646,Bayshore Freeway,Columbus,MN
8,Theodore,Clinton,12292,San Marcos,Bismarck,NY
9,Benjamin,Jefferson,82077,Carpinteria North,Sacramento,ca
10,William,Van Buren,21712,Tully Road East,Albany,IL
11,Calvin,Washington,50742,Richmond Hill,Charleston,ca
12,Jimmy,Polk,76143,Richmond Hill,Salt Lake City,AK
13,Calvin,Adams,52386,Lake Tahoe Blvd.,Montgomery,NY
14,Ulysses,Monroe,70511,Jones Road,Trenton,IL
15,Zachary,Tyler,45040,Santa Rosa North,Carson City,AK
16,Ulysses,Johnson,19989,Via Real,Juneau,AL
17,George,Arthur,89874,Calle Real,Annapolis,AL
18,George,Jefferson,67703,Fontaine Road,Pierre,IL
19,Herbert,Grant,90635,North Ventu Park Road,Columbus,AK
20,Calvin,Washington,37446,E Fowler Avenue,Pierre,al
21,John,Harrison,86745,San Marcos,Annapolis,AK
22,Benjamin,Ford,27921,Carpinteria Avenue,Providence,CA
23,Andrew,Fillmore,96878,Greenwood Road,Saint Paul,AK
24,Warren,Arthur,22920,Jean de la Fontaine,Madison,MN
25,Calvin,Pierce,41962,Santa Rosa North,Juneau,ca
26,Woodrow,Clinton,30587,San Diego Freeway,Topeka,CA
27,George,Jefferson,95054,Padre Boulevard,Denver,ak
28,Lyndon,Eisenhower,14379,Newbury Road,Lincoln,al
29,John,Adams,49993,El Camino Real,Phoenix,AK
30,Woodrow,Adams,62404,Jones Road,Springfield,IL
31,George,Adams,40011,South Highway,Concord,ca
32,Dwight,Pierce,24382,North Atherton Street,Providence,ca
33,Thomas,Polk,14024,San Simeon,Lansing,MN
34,Jimmy,Coolidge,19658,North Ventu Park Road,Sacramento,ca
35,Theodore,Reagan,30441,Lake Tahoe Blvd.,Raleigh,AL
36,William,Wilson,96762,San Luis Obispo North,Harrisburg,al
37,Andrew,McKinley,45619,San Luis Obispo North,Bismarck,AK
38,George,Coolidge,67507,Santa Monica Road,Columbus,AK
39,Richard,Carter,42127,Carpinteria Avenue,Columbia,ca
40,Herbert,Hoover,93826,N Harrison St,Santa Fe,ca
41,Herbert,Hoover,86542,East Calle Primera,Harrisburg,ca
42,Chester,Quincy,38921,Santa Monica Road,Des Moines,ca
43,Herbert,Washington,71351,Padre Boulevard,Indianapolis,CA
44,Richard,Coolidge,66918,S Rustle St,Madison,IL
45,Dwight,Pierce,53765,Burnett Road,Cheyenne,AL
46,Calvin,Madison,77564,Harry S Truman Blvd,Boise,al
47,Zachary,Pierce,91312,Santa Ana Freeway,Annapolis,AK
48,Thomas,Roosevelt,47330,East Fry Blvd.,Carson City,CA
49,Thomas,Reagan,76890,Fontaine Road,Jackson,ca
50,Ulysses,Reagan,42195,Cerrillos Road,Dover,al
51,Martin,Johnson,32782,Padre Boulevard,Springfield,NY
52,Lyndon,Harding,92517,Burnett Road,Little Rock,AK
53,Warren,Taft,34746,Newbury Road,Richmond,IL
54,Lyndon,Jackson,72876,East Fry Blvd.,Jackson,IL
55,Abraham,Tyler,89260,Carpinteria North,Annapolis,NY
56,Bill,Eisenhower,56724,Timberlane Drive,Jackson,ak
57,Rutherford,Harrison,27209,Bailard Avenue,Tallahassee,AL
58,Jimmy,Garfield,60346,Harbor Dr,Helena,AL
59,Herbert,Arthur,38585,East Calle Primera,Springfield,AL
60,Millard,Reagan,47551,South Roosevelt Drive,Sacramento,al
61,Rutherford,Madison,16987,Bailard Avenue,Austin,AK
62,Benjamin,Adams,48190,Grandview Drive,Montpelier,AL
63,Ronald,Fillmore,78647,N Kentwood,Trenton,al
64,Calvin,Taft,36327,North Preisker Lane,Jefferson City,ak
65,George,Truman,88678,N Harrison St,Jefferson City,ak
66,Herbert,Pierce,32958,East Main Street,Oklahoma City,AL
67,Woodrow,Harrison,49904,Monroe Street,Montgomery,IL
68,Benjamin,Adams,32628,Santa Rosa North,Boise,AL
69,Herbert,Coolidge,65573,Cabrillo Highway,Salt Lake City,NY
70,Grover,Van Buren,76745,San Ysidro Blvd,Columbia,MN
71,Calvin,Harrison,17512,Santa Monica Road,Baton Rouge,ca
72,Abraham,Hoover,34027,Grandview Drive,Augusta,IL
73,Gerald,Adams,65044,Santa Ana Freeway,Albany,CA
74,Dwight,Arthur,65616,Hutchinson Rd,Nashville,MN
75,James,Fillmore,77607,Bowles Avenue,Springfield,MN
76,Franklin,Johnson,65748,East Calle Primera,Indianapolis,ca
77,Rutherford,Arthur,49798,N Kentwood,Carson City,MN
78,Benjamin,Reagan,35525,North Ventu Park Road,Cheyenne,AK
79,Benjamin,Roosevelt,46838,Tully Road East,Lansing,MN
80,Richard,Coolidge,53443,Cleveland Ave.,Charleston,ak
81,Warren,Tyler,56024,E Fowler Avenue,Jackson,AL
82,James,Ford,78424,Erringer Road,Jackson,ak
83,Ulysses,Taft,80435,Castillo Drive,Dover,CA
84,Martin,Lincoln,48090,Erringer Road,Pierre,IL
85,Warren,Grant,39236,Carpinteria North,Jefferson City,MN
